Date,Chrome,Internet Explorer,Firefox,Safari,Opera
1-Jan-12,0.35,0.20,0.37,0.04,0.02
1-Feb-12,0.36,0.20,0.37,0.05,0.02
1-Mrz-12,0.37,0.19,0.36,0.04,0.02
1-Apr-12,0.38,0.18,0.36,0.05,0.02
1-Mai-12,0.39,0.18,0.35,0.04,0.02
1-Jun-12,0.42,0.17,0.34,0.04,0.02
1-Jul-12,0.43,0.16,0.34,0.04,0.02
1-Aug-12,0.44,0.16,0.33,0.04,0.02
1-Sep-12,0.44,0.16,0.32,0.04,0.02
1-Okt-12,0.45,0.16,0.32,0.04,0.02
1-Nov-12,0.46,0.15,0.31,0.04,0.02
1-Dez-12,0.47,0.15,0.31,0.04,0.02
1-Jan-13,0.48,0.14,0.30,0.04,0.02
1-Feb-13,0.50,0.14,0.30,0.04,0.02
1-Mrz-13,0.52,0.13,0.29,0.04,0.02
1-Apr-13,0.53,0.13,0.28,0.04,0.02
1-Mai-13,0.53,0.13,0.28,0.04,0.02
1-Jun-13,0.52,0.12,0.29,0.04,0.02
1-Jul-13,0.53,0.12,0.29,0.04,0.02
1-Aug-13,0.53,0.12,0.28,0.04,0.02
1-Sep-13,0.53,0.12,0.28,0.04,0.02
1-Okt-13,0.54,0.12,0.27,0.04,0.02
1-Nov-13,0.55,0.11,0.27,0.04,0.02
1-Dez-13,0.56,0.09,0.27,0.04,0.02
1-Jan-14,0.56,0.10,0.27,0.04,0.02
1-Feb-14,0.56,0.10,0.26,0.04,0.02
1-Mrz-14,0.58,0.10,0.26,0.04,0.02
1-Apr-14,0.58,0.09,0.25,0.04,0.02
1-Mai-14,0.59,0.09,0.25,0.04,0.02
1-Jun-14,0.59,0.09,0.25,0.04,0.02
1-Jul-14,0.60,0.09,0.25,0.04,0.02
1-Aug-14,0.60,0.08,0.25,0.04,0.02
1-Sep-14,0.60,0.10,0.24,0.04,0.02
