Stichtag,Altersgruppe,maennlich,weiblich,Insgesamt
31.12.2013,< 1 ,350029,-332540,682569
31.12.2013,1,351040,-333253,684293
31.12.2013,2,342901,-325585,668486
31.12.2013,3,349266,-331630,680896
31.12.2013,4,344902,-326260,671162
31.12.2013,5,354141,-336518,690659
31.12.2013,6,354478,-335032,689510
31.12.2013,7,348376,-328474,676850
31.12.2013,8,354457,-336215,690672
31.12.2013,9,366990,-348582,715572
31.12.2013,10,367461,-348925,716386
31.12.2013,11,374633,-355038,729671
31.12.2013,12,383871,-363231,747102
31.12.2013,13,400235,-380355,780590
31.12.2013,14,401833,-380578,782411
31.12.2013,15,409994,-389747,799741
31.12.2013,16,423583,-402374,825957
31.12.2013,17,416724,-394233,810957
31.12.2013,18,406586,-383388,789974
31.12.2013,19,413437,-389545,802982
31.12.2013,20,430024,-407741,837765
31.12.2013,21,450294,-430604,880898
31.12.2013,22,470467,-449032,919499
31.12.2013,23,520035,-495789,1015824
31.12.2013,24,515171,-493173,1008344
31.12.2013,25,531457,-506372,1037829
31.12.2013,26,522610,-497358,1019968
31.12.2013,27,514106,-494425,1008531
31.12.2013,28,501467,-486507,987974
31.12.2013,29,502617,-488416,991033
31.12.2013,30,507461,-494441,1001902
31.12.2013,31,521706,-508033,1029739
31.12.2013,32,515892,-506772,1022664
31.12.2013,33,512867,-504701,1017568
31.12.2013,34,489124,-481562,970686
31.12.2013,35,483526,-475327,958853
31.12.2013,36,479627,-471331,950958
31.12.2013,37,469978,-464220,934198
31.12.2013,38,458123,-451033,909156
31.12.2013,39,463636,-459692,923328
31.12.2013,40,468054,-464819,932873
31.12.2013,41,509971,-504327,1014298
31.12.2013,42,565592,-556063,1121655
31.12.2013,43,588860,-578548,1167408
31.12.2013,44,636559,-620648,1257207
31.12.2013,45,667951,-650799,1318750
31.12.2013,46,685978,-669613,1355591
31.12.2013,47,707519,-688340,1395859
31.12.2013,48,711825,-689323,1401148
31.12.2013,49,724356,-703986,1428342
31.12.2013,50,717559,-699162,1416721
31.12.2013,51,692408,-678552,1370960
31.12.2013,52,679577,-672465,1352042
31.12.2013,53,654702,-652370,1307072
31.12.2013,54,636654,-634336,1270990
31.12.2013,55,599903,-599267,1199170
31.12.2013,56,585028,-586696,1171724
31.12.2013,57,566126,-572105,1138231
31.12.2013,58,544393,-557428,1101821
31.12.2013,59,528574,-550933,1079507
31.12.2013,60,507892,-534742,1042634
31.12.2013,61,505273,-533755,1039028
31.12.2013,62,492813,-521686,1014499
31.12.2013,63,489366,-519707,1009073
31.12.2013,64,472498,-500968,973466
31.12.2013,65,431042,-455839,886881
31.12.2013,66,400687,-429369,830056
31.12.2013,67,346418,-374233,720651
31.12.2013,68,299772,-331909,631681
31.12.2013,69,398656,-441029,839685
31.12.2013,70,401243,-445870,847113
31.12.2013,71,384422,-431270,815692
31.12.2013,72,457192,-524887,982079
31.12.2013,73,470573,-551207,1021780
31.12.2013,74,451827,-539988,991815
31.12.2013,75,409699,-497607,907306
31.12.2013,76,369024,-459329,828353
31.12.2013,77,341930,-438404,780334
31.12.2013,78,314510,-414982,729492
31.12.2013,79,276235,-375503,651738
31.12.2013,80,207752,-293816,501568
31.12.2013,81,192308,-283965,476273
31.12.2013,82,180011,-278367,458378
31.12.2013,83,172021,-280401,452422
31.12.2013,84,150841,-257959,408800
