date,close,volume,open,high,low
30.08.2004,17.92,8621700,18.12,18.26,17.89
31.08.2004,17.89,7149900,17.87,17.94,17.66
01.09.2004,17.92,8108700,17.85,17.97,17.75
02.09.2004,18.01,6440800,17.87,18.04,17.8
03.09.2004,17.7,12683700,17.75,17.8,17.58
07.09.2004,17.99,8364600,17.8,18.01,17.8
08.09.2004,17.94,10588300,17.81,18.03,17.81
09.09.2004,18.12,9439000,17.93,18.34,17.898
10.09.2004,18.29,7339900,18.12,18.46,18.12
13.09.2004,18.61,9199400,18.36,18.74,18.31
14.09.2004,18.4,10009600,18.46,18.55,18.4
15.09.2004,18.28,9767900,18.41,18.44,18.12
16.09.2004,18.22,6752100,18.21,18.36,18.2
17.09.2004,18.11,12369600,18.26,18.3,18.05
20.09.2004,18.41,10927100,18.14,18.69,18.14
21.09.2004,18.7,8953600,18.55,18.77,18.53
22.09.2004,18.62,9689600,18.62,18.79,18.6
23.09.2004,18.84,9051900,18.64,18.98,18.64
24.09.2004,18.58,11529900,18.84,18.93,18.53
27.09.2004,18.4,9973100,18.35,18.59,18.25
28.09.2004,18.24,9109500,18.36,18.46,18.08
29.09.2004,18.52,8518500,18.24,18.52,18.11
30.09.2004,18.75,10970200,18.52,19,18.5
01.10.2004,19.12,8566000,18.86,19.32,18.86
04.10.2004,19.06,9759900,19.12,19.45,19.01
05.10.2004,18.98,10819000,18.68,19.01,18.63
06.10.2004,19.18,6828700,18.9,19.19,18.84
07.10.2004,19.03,8000900,19,19.15,18.87
08.10.2004,18.56,8866700,18.93,19,18.38
11.10.2004,18.64,5128000,18.48,18.73,18.38
12.10.2004,18.53,8481900,18.45,18.69,18.2
13.10.2004,18.9,11278200,18.75,18.9894,18.65
14.10.2004,18.38,11831600,18.41,18.75,18.21
15.10.2004,18.21,10000900,18.38,18.53,18.2
18.10.2004,18.25,12025600,18.2,18.33,18.05
19.10.2004,18.24,10077100,18.31,18.49,18.2
20.10.2004,18.23,9715300,18.1,18.26,17.97
21.10.2004,18.36,7522300,18.19,18.49,18.13
22.10.2004,17.94,8061800,18.23,18.36,17.93
25.10.2004,17.91,7130900,17.7,18.04,17.68
26.10.2004,17.86,13006400,18,18.09,17.59
27.10.2004,18.45,11682800,17.9,18.56,17.87
28.10.2004,18.49,7964600,18.3,18.56,18.28
29.10.2004,18.66,10455800,18.31,18.68,18.31
01.11.2004,18.76,8629100,18.57,18.91,18.5
02.11.2004,19,9844600,18.77,19.31,18.56
03.11.2004,19,10334300,19.38,19.48,18.96
04.11.2004,19.53,9181700,19,19.59,18.95
05.11.2004,19.69,10446000,19.77,19.96,19.62
08.11.2004,19.81,8066600,19.6,19.91,19.6
09.11.2004,19.7,9362000,19.86,20,19.7
10.11.2004,18.97,16075200,19.52,19.58,18.93
11.11.2004,19.25,12158600,18.91,19.49,18.85
12.11.2004,19.34,15074100,19.26,19.45,19.001
15.11.2004,19.42,12674600,19.3,19.5,19.25
16.11.2004,19.68,16951200,19.35,19.8,19.18
17.11.2004,20.2,39028800,21.26,21.32,20.02
18.11.2004,20.26,12362500,20.19,20.37,20.07
19.11.2004,20.08,10306700,20.25,20.34,20.08
22.11.2004,20.2,10032500,20.01,20.23,19.9515
23.11.2004,20.16,8157600,20.11,20.25,19.99
24.11.2004,20.14,5822200,20.13,20.25,20.03
26.11.2004,20.17,2385500,20.07,20.17,20.07
29.11.2004,20.1,8147700,20.12,20.25,19.89
30.11.2004,20,7812800,19.98,20.07,19.88
01.12.2004,20.52,9824600,20.09,20.53,20
02.12.2004,20.57,7845700,20.4,20.7,20.38
03.12.2004,20.99,13804100,20.76,21.01,20.72
06.12.2004,21.33,12495000,20.84,21.461,20.76
07.12.2004,21.08,12682200,21.2,21.58,21.03
08.12.2004,21.02,10665000,21.16,21.2,20.94
09.12.2004,20.87,11588600,21.2,21.2,20.42
10.12.2004,20.81,7881900,20.92,21.03,20.5
13.12.2004,20.7,7354500,20.88,20.93,20.34
14.12.2004,20.6,7709200,20.75,20.8,20.55
15.12.2004,20.71,11045600,20.53,20.73,20.5
16.12.2004,21.05,12664500,20.56,21.06,20.53
17.12.2004,20.96,15683200,21.05,21.09,20.78
20.12.2004,20.98,7380700,20.96,21.17,20.91
21.12.2004,21.21,8785200,20.98,21.24,20.97
22.12.2004,21.21,6767100,21.17,21.24,21
23.12.2004,21.06,4283600,21.12,21.22,21
27.12.2004,21.09,6245000,20.91,21.21,20.81
28.12.2004,21.23,5536000,21.04,21.25,20.93
29.12.2004,21.2,5561700,21.09,21.26,21.04
30.12.2004,21.13,4098400,21.14,21.22,21.1
31.12.2004,20.97,5395800,21.13,21.2,20.93
03.01.2005,21.05,8265600,21.12,21.25,20.99
04.01.2005,20.91,9286300,21.05,21.16,20.58
05.01.2005,21,11384100,20.85,21.15,20.81
06.01.2005,20.96,9029800,21.04,21.16,20.82
07.01.2005,20.84,13728800,20.95,21,20.77
10.01.2005,20.81,8332100,20.69,20.86,20.59
11.01.2005,20.05,20968100,20.3,20.31,19.5
12.01.2005,20.04,12640500,20.05,20.15,19.63
13.01.2005,19.95,9899700,20.06,20.29,19.91
14.01.2005,20.07,9590500,19.93,20.13,19.79
18.01.2005,20.43,14468000,20.03,20.57,19.97
19.01.2005,20.28,8441000,20.43,20.49,20.25
20.01.2005,20.02,9082000,19.92,20.31,19.91
21.01.2005,19.99,11022000,19.93,20.2,19.93
24.01.2005,19.89,11310300,19.95,20.19,19.83
25.01.2005,19.66,11449100,19.95,19.98,19.63
26.01.2005,19.59,11520800,19.69,19.81,19.49
27.01.2005,19.49,10714500,19.58,19.71,19.27
28.01.2005,19.34,18252400,19.4,19.48,18.89
31.01.2005,19.59,9489300,19.42,19.77,19.41
01.02.2005,19.82,9232800,19.7,20.14,19.67
02.02.2005,19.57,7869300,19.79,19.83,19.56
03.02.2005,19.9,9501900,19.75,20.3,19.7
04.02.2005,20.45,9285700,19.82,20.51,19.81
07.02.2005,20.37,5572100,20.45,20.52,20.3
08.02.2005,20.14,8155100,20.32,20.44,20.12
09.02.2005,21.53,102391500,22.26,22.26,21.02
10.02.2005,21.48,26124000,21.2,21.54,21.04
11.02.2005,21.3,17212500,21.25,21.5,21.2
14.02.2005,20.77,18809400,20.95,21.1,20.55
15.02.2005,21.12,16197300,20.68,21.158,20.65
16.02.2005,21.06,17466000,20.9,21.25,20.83
17.02.2005,20.86,22998200,21.17,21.48,20.8
18.02.2005,21,9489800,20.87,21.21,20.76
22.02.2005,20.57,9807500,20.75,21.11,20.57
23.02.2005,20.36,10011900,20.56,20.6,20.24
24.02.2005,20.44,11902300,20.15,20.56,19.9
25.02.2005,20.66,7108200,20.27,20.74,20.26
28.02.2005,20.8,9042600,20.45,20.88,20.45
01.03.2005,20.72,8852400,20.75,20.89,20.35
02.03.2005,20.7,7221700,20.4,20.84,20.32
03.03.2005,20.81,7774400,20.66,20.9,20.55
04.03.2005,20.56,11168700,20.9,20.94,20.54
07.03.2005,20.87,13650200,20.51,21.02,20.5
08.03.2005,20.92,8142400,20.78,20.96,20.74
09.03.2005,20.64,9914100,20.8,21.04,20.49
10.03.2005,20.59,6963700,20.59,20.65,20.28
11.03.2005,19.94,14298600,20.52,20.65,19.85
14.03.2005,20.2,9052000,20.05,20.29,19.99
15.03.2005,20.14,8641200,20.22,20.33,19.91
16.03.2005,20.22,11587400,20,20.26,19.9
17.03.2005,20.38,9816600,20.15,20.5,20.12
18.03.2005,20.1,19624300,20.38,20.39,20.07
21.03.2005,20.15,9927900,20.05,20.28,20.03
22.03.2005,20.01,9830700,20.15,20.29,19.94
23.03.2005,19.76,12760300,19.75,19.9,19.57
24.03.2005,19.81,6420900,19.73,20.01,19.68
28.03.2005,19.79,7723100,19.82,19.97,19.6
29.03.2005,21.78,45143100,19.79,21.85,19.76
30.03.2005,22,44865400,21.5,22.14,21.28
31.03.2005,21.94,20355000,21.95,22.04,21.79
01.04.2005,21.71,16384900,21.95,22.04,21.42
04.04.2005,21.91,21547500,21.71,21.92,21.55
05.04.2005,21.56,12768200,21.85,22.11,21.55
06.04.2005,21.77,10247500,21.69,21.97,21.56
07.04.2005,21.8,7434900,21.77,21.94,21.56
08.04.2005,21.64,6779400,21.75,21.89,21.61
11.04.2005,21.57,7131900,21.65,21.81,21.48
12.04.2005,21.71,7085600,21.45,21.8,21.36
13.04.2005,21.95,12610700,21.55,22.06,21.54
14.04.2005,21.75,14176300,21.87,21.87,21.66
15.04.2005,20.84,20200900,21.5,21.51,20.76
18.04.2005,20.44,16552200,20.65,20.78,20.1912
19.04.2005,20.65,8746400,20.44,20.76,20.44
20.04.2005,20.59,8501000,20.55,20.77,20.53
21.04.2005,21.08,10410200,20.7,21.23,20.65
22.04.2005,20.78,10140300,20.95,21.09,20.65
25.04.2005,21.1,6189800,21,21.12,20.91
26.04.2005,20.47,16225500,20.65,20.65,20.25
27.04.2005,20.17,17907800,20.25,20.28,19.935
28.04.2005,20.3,14597600,19.95,20.44,19.81
29.04.2005,20.47,11836700,20.3,20.57,20.24
02.05.2005,20.97,12444300,20.57,21,20.55
03.05.2005,21,9014600,20.97,21.27,20.81
04.05.2005,21.03,8710200,21,21.15,20.77
05.05.2005,20.93,6799300,20.98,21.07,20.69
06.05.2005,20.98,6526200,20.95,21.09,20.82
09.05.2005,20.74,9061100,20.45,20.8,20.43
10.05.2005,20.45,9332400,20.5,20.59,20.3
11.05.2005,20.56,8808600,20.48,20.56,20.23
12.05.2005,20.15,9581300,20.45,20.54,20.15
13.05.2005,20.62,13255800,20.26,20.75,20.12
16.05.2005,21.01,9484400,20.56,21.05,20.428
17.05.2005,21.55,16441900,20.78,21.55,20.75
18.05.2005,22.55,34379900,22.16,22.81,21.85
19.05.2005,22.51,12787800,22.35,22.55,22.23
20.05.2005,22.5,10449200,22.5,22.75,22.44
23.05.2005,22.55,10641600,22.41,22.73,22.41
24.05.2005,22.72,7192000,22.42,22.73,22.35
25.05.2005,22.82,8711800,22.51,22.83,22.47
26.05.2005,23,12192000,22.82,23.25,22.77
27.05.2005,22.77,5574000,22.8,22.9414,22.7
31.05.2005,22.51,11149800,22.55,22.62,22.46
01.06.2005,22.68,8343100,22.45,22.79,22.45
02.06.2005,22.68,6954300,22.53,22.71,22.45
03.06.2005,22.72,6854000,22.55,22.77,22.51
06.06.2005,22.58,11648500,22.95,22.95,22.5
07.06.2005,22.51,5449300,22.53,22.78,22.5
08.06.2005,22.43,5937300,22.6,22.64,22.39
09.06.2005,22.76,10028200,22.39,22.94,22.38
10.06.2005,23.5,13314100,22.85,23.5,22.85
13.06.2005,23.89,19113200,23.3,23.9,23.25
14.06.2005,23.85,10052000,23.78,23.88,23.65
