hpqticker,hpqdate,hpqclose,hpqvolume,hpqopen,hpqhigh,hpqlow,,intcticker,intcdate,intcclose,intcvolume,intcopen,intchigh,intclow,,msftticker,msftdate,msftclose,msftvolume,msftopen,msfthigh,msftlow
hpq,30.08.2004,17.92,8621700,18.12,18.26,17.89,,intc,30.08.2004,21.6,43042950,22,22.04,21.57,,msft,30.08.2004,27.3,36679600,27.3,27.39,26.85
hpq,31.08.2004,17.89,7149900,17.87,17.94,17.66,,intc,31.08.2004,21.29,79105510,21.41,21.49,20.86,,msft,31.08.2004,27.3,52162780,27.29,27.32,27.05
hpq,01.09.2004,17.92,8108700,17.85,17.97,17.75,,intc,01.09.2004,21.43,61732120,21.08,21.7,21.03,,msft,01.09.2004,27.39,48507420,27.22,27.52,27.14
hpq,02.09.2004,18.01,6440800,17.87,18.04,17.8,,intc,02.09.2004,21.63,71723220,21.44,21.72,21.26,,msft,02.09.2004,27.62,42170940,27.42,27.68,27.35
hpq,03.09.2004,17.7,12683700,17.75,17.8,17.58,,intc,03.09.2004,20.05,172220400,19.95,20.18,19.85,,msft,03.09.2004,27.11,46174310,27.44,27.62,27.1
hpq,07.09.2004,17.99,8364600,17.8,18.01,17.8,,intc,07.09.2004,19.89,77890020,20.24,20.25,19.73,,msft,07.09.2004,27.36,44896390,27.3,27.38,27.16
hpq,08.09.2004,17.94,10588300,17.81,18.03,17.81,,intc,08.09.2004,19.72,75496830,19.91,20.06,19.6906,,msft,08.09.2004,27.26,53436850,27.34,27.4692,27.14
hpq,09.09.2004,18.12,9439000,17.93,18.34,17.898,,intc,09.09.2004,20.17,95652310,19.9,20.33,19.71,,msft,09.09.2004,27.28,56904690,27.3,27.47,27.18
hpq,10.09.2004,18.29,7339900,18.12,18.46,18.12,,intc,10.09.2004,20.57,67274790,20.2,20.7,19.98,,msft,10.09.2004,27.49,52738550,27.32,27.51,27.18
hpq,13.09.2004,18.61,9199400,18.36,18.74,18.31,,intc,13.09.2004,20.8,82054550,20.77,21.18,20.6,,msft,13.09.2004,27.25,48767000,27.53,27.57,26.74
hpq,14.09.2004,18.4,10009600,18.46,18.55,18.4,,intc,14.09.2004,20.77,52879390,20.83,20.96,20.55,,msft,14.09.2004,27.44,55934440,27.39,27.51,27.27
hpq,15.09.2004,18.28,9767900,18.41,18.44,18.12,,intc,15.09.2004,20.42,59765430,20.61,20.62,20.2,,msft,15.09.2004,27.19,52686670,27.38,27.401,27.14
hpq,16.09.2004,18.22,6752100,18.21,18.36,18.2,,intc,16.09.2004,20.11,57764190,20.47,20.6,20.07,,msft,16.09.2004,27.26,35951500,27.24,27.35,27.17
hpq,17.09.2004,18.11,12369600,18.26,18.3,18.05,,intc,17.09.2004,20.59,93827190,20.29,20.62,19.9,,msft,17.09.2004,27.51,65284920,27.39,27.53,27.26
hpq,20.09.2004,18.41,10927100,18.14,18.69,18.14,,intc,20.09.2004,20.92,74928140,20.46,21.25,20.4486,,msft,20.09.2004,27.51,51523520,27.44,27.65,27.33
hpq,21.09.2004,18.7,8953600,18.55,18.77,18.53,,intc,21.09.2004,21.08,59349680,21.14,21.35,20.98,,msft,21.09.2004,27.26,73889880,27.47,27.53,27.25
hpq,22.09.2004,18.62,9689600,18.62,18.79,18.6,,intc,22.09.2004,20.42,62613400,20.98,21.05,20.42,,msft,22.09.2004,27.12,68409250,27.25,27.74,27.07
hpq,23.09.2004,18.84,9051900,18.64,18.98,18.64,,intc,23.09.2004,20.38,68334050,20.45,20.61,20.27,,msft,23.09.2004,27.35,52157860,27.19,27.39,27.17
