"Date","Chrome","IE","Firefox","Safari","Opera","Android","360 Safe Browser","Yandex Browser","Maxthon","Silk","Sogou Explorer","QQ Browser","Chromium","Sony PS3","Puffin","TheWorld","UC Browser","Tencent Traveler","Pale Moon","CoRom+","BlackBerry","Iron","Mozilla","Iceweasel","SeaMonkey","Coc Coc","Kindle","Phantom","Netscape","Sleipnir","Beamrise","NetFront NX","Sony PS4","Other"
2013-09,40.8,28.56,18.36,8.52,1.16,0.92,0.24,0.33,0.19,0.16,0.16,0.05,0.08,0.1,0.03,0.02,0.01,0.02,0.04,0.02,0.03,0.02,0.01,0.02,0.02,0,0.01,0.01,0.04,0.01,0.01,0,0,0.07
2013-10,40.44,28.96,18.11,8.54,1.2,0.9,0.41,0.31,0.2,0.16,0.16,0.06,0.07,0.09,0.03,0.02,0.02,0.02,0.04,0.02,0.03,0.02,0.01,0.02,0.02,0,0.01,0.01,0.04,0.01,0.01,0,0,0.06
2013-11,41.87,27.31,18.15,8.5,1.18,0.94,0.55,0.32,0.22,0.17,0.15,0.07,0.08,0.09,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0,0.01,0.01,0.03,0.01,0.01,0,0,0.05
2013-12,43.92,23.24,18.95,9.14,1.31,1.13,0.69,0.34,0.23,0.21,0.17,0.08,0.07,0.09,0.03,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0,0.01,0.01,0.02,0.02,0.01,0,0,0.06
2014-01,43.67,22.85,18.9,9.73,1.3,1.22,0.62,0.37,0.24,0.24,0.18,0.09,0.07,0.08,0.03,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0,0.02,0.01,0.02,0.01,0.02,0,0,0.05
2014-02,43.85,22.58,19.24,9.68,1.34,1.2,0.37,0.34,0.25,0.23,0.23,0.1,0.07,0.09,0.03,0.03,0.03,0.02,0.02,0.05,0.03,0.02,0.02,0.02,0.02,0,0.02,0.02,0,0.01,0.02,0.01,0.01,0.04
2014-03,43.66,22.58,18.75,9.91,1.38,1.18,0.84,0.33,0.25,0.22,0.16,0.1,0.08,0.08,0.03,0.04,0.03,0.04,0.02,0.05,0.03,0.02,0.02,0.02,0.02,0,0.02,0.02,0,0.01,0.01,0.01,0.01,0.05
2014-04,45.22,21.43,18.62,9.79,1.39,1.17,0.68,0.37,0.23,0.21,0.15,0.09,0.11,0.08,0.04,0.03,0.03,0.03,0.02,0.05,0.03,0.02,0.02,0.02,0.02,0,0.02,0.02,0,0.01,0.01,0.01,0.01,0.05
2014-05,45.6,20.78,18.72,10.02,1.35,1.24,0.68,0.29,0.22,0.21,0.14,0.09,0.12,0.07,0.04,0.03,0.04,0.03,0.02,0.05,0.02,0.02,0.02,0.03,0.02,0,0.02,0.02,0,0.01,0.01,0.02,0.01,0.05
2014-06,45.46,20.98,17.95,10.3,1.37,1.34,0.91,0.3,0.24,0.23,0.15,0.11,0.1,0.07,0.04,0.04,0.04,0.04,0.02,0,0.02,0.02,0.03,0.02,0.02,0.05,0.02,0.02,0,0.01,0.01,0.02,0.02,0.06
2014-07,45.28,21.38,17.52,10.6,1.39,1.36,0.78,0.29,0.23,0.24,0.16,0.12,0.11,0.06,0.03,0.03,0.04,0.03,0.02,0,0.02,0.02,0.03,0.02,0.02,0.05,0.02,0.03,0,0.01,0.01,0.02,0.02,0.05
2014-08,46.26,20.31,17.5,10.81,1.47,1.37,0.5,0.33,0.23,0.25,0.19,0.13,0.11,0.06,0.03,0.02,0.05,0.02,0.02,0,0.02,0.02,0.03,0.02,0.02,0.07,0.02,0.02,0,0.01,0.01,0.02,0.03,0.06
2014-09,45.58,20.46,17.44,11.21,1.39,1.33,0.81,0.28,0.26,0.25,0.2,0.14,0.09,0.05,0.03,0.03,0.05,0.03,0.02,0,0.02,0.02,0.03,0.02,0.02,0.07,0.02,0.02,0,0.01,0.01,0.02,0.03,0.06
